,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
0,RENAULT,CLIO,MANUELLE,7577,Second-Hand,DIESEL,2020,17830.0,-0.5104989999999999,44.878583,NOUVELLE-AQUITAINE
1,RENAULT,CLIO,MANUELLE,49851,Second-Hand,DIESEL,2019,11540.0,0.3698788,45.0440403,NOUVELLE-AQUITAINE
2,RENAULT,CLIO,MANUELLE,19318,Second-Hand,ESSENCE,2020,13360.0,0.3698788,45.0440403,NOUVELLE-AQUITAINE
3,RENAULT,MEGANE,MANUELLE,124202,Second-Hand,DIESEL,2018,11530.0,3.121595,50.631513,HAUTS-DE-FRANCE
4,RENAULT,MEGANE,MANUELLE,66729,Second-Hand,DIESEL,2019,19360.0,3.122092,50.626434100000004,HAUTS-DE-FRANCE
5,RENAULT,CLIO,MANUELLE,7524,Second-Hand,ESSENCE,2020,15570.0,3.121595,50.631513,HAUTS-DE-FRANCE
6,RENAULT,CAPTUR,MANUELLE,42413,Second-Hand,ESSENCE,2018,15480.0,3.122092,50.626434100000004,HAUTS-DE-FRANCE
7,RENAULT,CLIO,MANUELLE,73262,Second-Hand,DIESEL,2016,11480.0,-0.5108495,44.867689399999996,NOUVELLE-AQUITAINE
8,RENAULT,CLIO,AUTOMATIQUE,17868,Second-Hand,DIESEL,2020,15240.0,-0.6423265,44.861084999999996,NOUVELLE-AQUITAINE
9,RENAULT,TWINGO,MANUELLE,14513,Second-Hand,ESSENCE,2020,14490.0,3.121595,50.631513,HAUTS-DE-FRANCE
10,RENAULT,MEGANE,AUTOMATIQUE,124568,Second-Hand,DIESEL,2019,13400.0,1.9330241000000001,48.75670359999999,ÎLE-DE-FRANCE
11,RENAULT,CLIO,MANUELLE,84950,Second-Hand,DIESEL,2018,12750.0,2.2734104,48.90294129999999,ÎLE-DE-FRANCE
12,PEUGEOT,208,MANUELLE,45938,Second-Hand,DIESEL,2020,16200.0,-0.6423139999999999,44.785382,NOUVELLE-AQUITAINE
13,PEUGEOT,3008,MANUELLE,43773,Second-Hand,ESSENCE,2019,30360.0,2.2384215,48.903225299999995,ÎLE-DE-FRANCE
14,PEUGEOT,208,MANUELLE,30229,Second-Hand,ESSENCE,2020,12620.0,3.121595,50.631513,HAUTS-DE-FRANCE
15,PEUGEOT,308,AUTOMATIQUE,94300,Second-Hand,DIESEL,2018,19320.0,2.5216868999999997,48.9503361,ÎLE-DE-FRANCE
16,PEUGEOT,2008,AUTOMATIQUE,12,New,DIESEL,2021,38010.0,2.5216868999999997,48.9503361,ÎLE-DE-FRANCE
17,PEUGEOT,208,MANUELLE,19955,Second-Hand,ESSENCE,2020,15220.0,5.580835599999999,43.28567,PROVENCE-ALPES-CÔTE D'AZUR
18,PEUGEOT,208,AUTOMATIQUE,4602,Second-Hand,ELECTRIQUE,2021,30560.0,4.8196004,45.71493820000001,AUVERGNE-RHÔNE-ALPES
19,PEUGEOT,308,AUTOMATIQUE,113,Second-Hand,DIESEL,2021,41680.0,2.5216868999999997,48.9503361,ÎLE-DE-FRANCE
20,PEUGEOT,108,MANUELLE,5350,Second-Hand,ESSENCE,2021,15780.0,2.4795229,48.90645199999999,ÎLE-DE-FRANCE
21,PEUGEOT,2008,AUTOMATIQUE,1234,Second-Hand,DIESEL,2021,36230.0,3.121595,50.631513,HAUTS-DE-FRANCE
22,PEUGEOT,208,MANUELLE,43267,Second-Hand,ESSENCE,2018,12300.0,0.6384603999999999,48.7438061,NORMANDIE
