,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
0,RENAULT,CLIO,MANUELLE,7577,DIESEL,2020,17830.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1,RENAULT,CLIO,MANUELLE,49851,DIESEL,2019,11540.0,Nouvelle-Aquitaine,Dordogne,Second-Hand
2,RENAULT,CLIO,MANUELLE,19318,ESSENCE,2020,13360.0,Nouvelle-Aquitaine,Dordogne,Second-Hand
3,RENAULT,KADJAR,MANUELLE,17010,DIESEL,2021,27280.0,Occitanie,Haute-Garonne,Second-Hand
4,RENAULT,MEGANE,MANUELLE,124202,DIESEL,2018,11530.0,Hauts-de-France,Nord,Second-Hand
5,RENAULT,MEGANE,MANUELLE,66729,DIESEL,2019,19360.0,Hauts-de-France,Nord,Second-Hand
6,RENAULT,CLIO,MANUELLE,7524,ESSENCE,2020,15570.0,Hauts-de-France,Nord,Second-Hand
7,RENAULT,CLIO,MANUELLE,73262,DIESEL,2016,11480.0,Nouvelle-Aquitaine,Gironde,Second-Hand
8,RENAULT,CLIO,AUTOMATIQUE,17868,DIESEL,2020,15240.0,Nouvelle-Aquitaine,Gironde,Second-Hand
9,RENAULT,KADJAR,AUTOMATIQUE,28236,ESSENCE,2019,18780.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
10,RENAULT,TWINGO,MANUELLE,14513,ESSENCE,2020,14490.0,Hauts-de-France,Nord,Second-Hand
11,RENAULT,MEGANE,AUTOMATIQUE,124568,DIESEL,2019,13400.0,Île-de-France,Yvelines,Second-Hand
12,RENAULT,CLIO,MANUELLE,84950,DIESEL,2018,12750.0,Île-de-France,Hauts-de-Seine,Second-Hand
13,PEUGEOT,208,MANUELLE,45938,DIESEL,2020,16200.0,Nouvelle-Aquitaine,Gironde,Second-Hand
14,PEUGEOT,3008,MANUELLE,43773,ESSENCE,2019,30360.0,Île-de-France,Hauts-de-Seine,Second-Hand
15,PEUGEOT,208,MANUELLE,30229,ESSENCE,2020,12620.0,Hauts-de-France,Nord,Second-Hand
16,PEUGEOT,308,AUTOMATIQUE,94300,DIESEL,2018,19320.0,Île-de-France,Seine-Saint-Denis,Second-Hand
17,PEUGEOT,2008,AUTOMATIQUE,12,DIESEL,2021,38010.0,Île-de-France,Seine-Saint-Denis,New
18,PEUGEOT,208,MANUELLE,19955,ESSENCE,2020,15220.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
19,PEUGEOT,208,AUTOMATIQUE,4602,ELECTRIQUE,2021,30560.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
20,PEUGEOT,308,AUTOMATIQUE,113,DIESEL,2021,41680.0,Île-de-France,Seine-Saint-Denis,Second-Hand
21,PEUGEOT,108,MANUELLE,5350,ESSENCE,2021,15780.0,Île-de-France,Seine-Saint-Denis,Second-Hand
