Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
RENAULT,CLIO,mécanique,7577,Diesel,2020,17830,33310,-0.5104989999999999,44.878583
RENAULT,GRAND SCENIC,automatique,30201,Diesel,2020,23070,76120,1.0465014000000001,49.4180309
RENAULT,CLIO,mécanique,49851,Diesel,2019,11540,24400,0.3698788,45.0440403
RENAULT,CLIO,mécanique,19318,Essence,2020,13360,24400,0.3698788,45.0440403
RENAULT,KADJAR,mécanique,17010,Diesel,2021,27280,31120,1.3900006999999999,43.51913769999999
RENAULT,MEGANE,mécanique,124202,Diesel,2018,11530,59650,3.121595,50.631513
RENAULT,MEGANE,mécanique,66729,Diesel,2019,19360,59260,3.122092,50.626434100000004
RENAULT,CLIO,mécanique,7524,Essence,2020,15570,59650,3.121595,50.631513
RENAULT,CAPTUR,mécanique,42413,Essence,2018,15480,59260,3.122092,50.626434100000004
RENAULT,CLIO,mécanique,73262,Diesel,2016,11480,33310,-0.5108495,44.867689399999996
RENAULT,GRAND SCENIC,automatique,44191,Diesel,2019,21260,24400,0.3572301,45.0368494
RENAULT,CLIO,automatique,17868,Diesel,2020,15240,33110,-0.6423265,44.861084999999996
RENAULT,KADJAR,automatique,28236,Essence,2019,18780,42000,4.398725,45.4626731
RENAULT,TWINGO,mécanique,14513,Essence,2020,14490,59650,3.121595,50.631513
RENAULT,MEGANE,automatique,124568,Diesel,2019,13400,78310,1.9330241000000001,48.75670359999999
RENAULT,CLIO,mécanique,84950,Diesel,2018,12750,92400,2.2734104,48.90294129999999
PEUGEOT,208,mécanique,45938,Diesel,2020,16200,33600,-0.6423139999999999,44.785382
PEUGEOT,3008,mécanique,43773,Essence,2019,30360,92250,2.2384215,48.903225299999995
PEUGEOT,208,mécanique,30229,Essence,2020,12620,59650,3.121595,50.631513
PEUGEOT,PARTNER,mécanique,15064,Diesel,2021,20730,33700,-0.6884505,44.8228221
PEUGEOT,308,automatique,94300,Diesel,2018,19320,93600,2.5216868999999997,48.9503361
PEUGEOT,2008,automatique,12,Diesel,2022,38010,93600,2.5216868999999997,48.9503361
PEUGEOT,208,mécanique,19955,Essence,2020,15220,13400,5.580835599999999,43.28567
PEUGEOT,208,automatique,4602,Electrique,2021,30560,69600,4.8196004,45.714938200000006
PEUGEOT,308,automatique,113,Diesel,2022,41680,93600,2.5216868999999997,48.9503361
PEUGEOT,108,mécanique,5350,Essence,2022,15780,93140,2.4795229,48.90645199999999
PEUGEOT,2008,automatique,1234,Diesel,2022,36230,59650,3.121595,50.631513
PEUGEOT,208,mécanique,43267,Essence,2018,12300,61300,0.6384603999999999,48.7438061
PEUGEOT,208,mécanique,74484,Diesel,2017,13110,24400,0.3572301,45.0368494
PEUGEOT,208,mécanique,87079,Diesel,2017,9260,59650,3.121595,50.631513
PEUGEOT,208,mécanique,44297,Essence,2019,12460,92250,2.2384215,48.903225299999995
CITROEN,JUMPY,mécanique,34513,Diesel,2021,30360,61300,0.6384603999999999,48.7438061
CITROEN,C4 PICASSO,mécanique,32417,Essence,2018,16720,33700,-0.6884505,44.8228221
CITROEN,C5 AIRCROSS,automatique,3420,Hybride essence électrique,2022,45360,76120,1.0465014000000001,49.4180309
CITROEN,SPACETOURER,automatique,1250,Electrique,2022,57700,80480,2.2792873,49.865504200000004
CITROEN,C3 AIRCROSS,mécanique,87345,Diesel,2020,20610,47200,0.1205319,44.5179365
CITROEN,C3 AIRCROSS,mécanique,64073,Diesel,2019,18680,59160,3.0109543999999997,50.6449927
CITROEN,C3 AIRCROSS,automatique,44052,Essence,2019,19820,33110,-0.6423265,44.861084999999996
CITROEN,C3 AIRCROSS,mécanique,3999,Essence,2021,17640,31200,1.4318042,43.6375545
CITROEN,C3,mécanique,12644,Essence,2019,14440,92250,2.2384215,48.903225299999995
CITROEN,C3,mécanique,21783,Essence,2019,16100,78190,2.0123747,48.7714685
CITROEN,C3,mécanique,27158,Essence,2019,13890,69130,4.7816712,45.7883595
CITROEN,C1,mécanique,20453,Essence,2019,10080,13920,5.037298000000001,43.436943
CITROEN,C3,mécanique,24024,Essence,2020,14550,69140,4.877194,45.811371
CITROEN,C3 AIRCROSS,mécanique,6,Diesel,2022,25810,31200,1.4318042,43.6375545
CITROEN,C3,mécanique,5701,Diesel,2020,15840,24100,0.45582920000000005,44.83722590000001
CITROEN,C5 AIRCROSS,mécanique,1861,Diesel,2022,31340,33700,-0.6884505,44.8228221
TOYOTA,AURIS,automatique,70278,Hybride essence électrique,2019,21830,25120,6.8132901,47.24581149999999
TOYOTA,RAV 4,automatique,18320,Hybride essence électrique,2019,37930,13008,5.3954276,43.2629459
TOYOTA,C-HR,automatique,81545,Hybride essence électrique,2019,22490,26200,4.73027,44.5404899
TOYOTA,AYGO,mécanique,49375,Essence,2019,11480,59160,3.0109543999999997,50.6449927
TOYOTA,YARIS,automatique,77289,Hybride essence électrique,2017,12870,13400,5.580835599999999,43.28567
TOYOTA,YARIS,automatique,23218,Hybride essence électrique,2019,17190,33600,-0.6423139999999999,44.785382
TOYOTA,YARIS,mécanique,48763,Essence,2019,12270,33310,-0.5108495,44.867689399999996
TOYOTA,YARIS,automatique,46262,Hybride essence électrique,2019,17710,13008,5.3954276,43.2629459
TOYOTA,C-HR,automatique,23664,Hybride essence électrique,2019,25410,26300,5.0357087,45.020886499999996
TOYOTA,YARIS,automatique,43239,Hybride essence électrique,2018,17340,69130,4.7816712,45.7883595
TOYOTA,YARIS,automatique,5071,Hybride essence électrique,2021,18000,69140,4.877194,45.811371
TOYOTA,AVENSIS,mécanique,150592,Diesel,2017,14570,31200,1.4318042,43.6375545
TOYOTA,C-HR,automatique,48072,Hybride essence électrique,2018,19910,13008,5.3954276,43.2629459
TOYOTA,C-HR,automatique,93431,Hybride essence électrique,2019,20680,13008,5.3954276,43.2629459
TOYOTA,YARIS,automatique,98929,Hybride essence électrique,2018,14980,59260,3.122092,50.626434100000004
VOLKSWAGEN,GOLF,automatique,9979,Diesel,2021,28720,57200,7.1129999999999995,49.114143
VOLKSWAGEN,POLO,mécanique,9323,Essence,2021,20610,33110,-0.6423265,44.861084999999996
VOLKSWAGEN,TIGUAN ALLSPACE,automatique,42074,Diesel,2019,38120,69220,4.7481599,46.101769700000006
