Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
CITROEN,C4,Manuelle,28561,Essence,2018,14 890,60200,2.8261,49.4179
CITROEN,C4 cactus,Manuelle,14702,Essence,2020,15 999,86000,0.3333,46.5833
CITROEN,C4 picasso,Manuelle,88300,Diesel,2015,12 479,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,1742,Diesel,2021,32 990,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,50,Diesel,2020,30 880,38320,5.7681999999999976,45.1374
CITROEN,C5 aircross,Automatique,71150,Diesel,2019,24 990,71000,4.820033333333334,46.3393
CITROEN,C4 cactus,Manuelle,22276,Essence,2019,15 499,41200,1.764516666666667,47.3
CITROEN,C4 cactus,Manuelle,13772,Essence,2019,15 990,71103,,
CITROEN,C5 aircross,Automatique,24900,Diesel,2020,31 990,71103,,
CITROEN,C5 aircross,Automatique,19500,Diesel,2019,28 990,69200,4.8715,45.7025
CITROEN,C4,Manuelle,113375,Diesel,2018,10 899,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Manuelle,3461,Diesel,2020,28 380,38170,5.6939,45.1768
CITROEN,C5 aircross,Automatique,19950,Essence,2019,27 890,74200,6.51566,46.3258
CITROEN,C5 aircross,Automatique,15072,Essence,2020,27 990,34500,3.214,43.3412
CITROEN,C4 cactus,Manuelle,25118,Diesel,2020,17 880,38320,5.7681999999999976,45.1374
CITROEN,C4 cactus,Manuelle,25957,Diesel,2019,15 990,60400,3.0250296296296293,49.5569
CITROEN,Berlingo van,Manuelle,1000,Diesel,2021,17 490,73209,,
CITROEN,C4 picasso,Manuelle,80709,Diesel,2017,14 499,86000,0.3333,46.5833
CITROEN,C5 aircross,Manuelle,10,Diesel,2020,24 890,74200,6.51566,46.3258
CITROEN,C5 aircross,Manuelle,3351,Diesel,2020,27 890,64300,-0.7441782608695651,43.5125
CITROEN,Berlingo van,Manuelle,1000,Diesel,2021,17 490,73209,,
CITROEN,C5 aircross,Automatique,4305,Diesel,2021,28 990,73000,5.9237,45.6216
CITROEN,C4 cactus,Manuelle,14060,Essence,2019,15 990,1100,5.636914285714285,46.2592
CITROEN,C5 aircross,Manuelle,11500,Diesel,2020,25 980,69200,4.8715,45.7025
CITROEN,C5 aircross,Manuelle,7347,Diesel,2020,26 680,7430,4.711266666666666,45.2524
CITROEN,C4 cactus,Manuelle,3000,Essence,2021,18 990,86000,0.3333,46.5833
CITROEN,C4 cactus,Manuelle,25526,Essence,2020,15 690,86400,0.2659181818181819,46.0852
CITROEN,C4 cactus,Manuelle,16906,Essence,2020,15 990,86400,0.2659181818181819,46.0852
CITROEN,C4,Manuelle,37807,Essence,2018,13 480,71300,4.423966666666666,46.7068
CITROEN,C5 aircross,Automatique,3742,Diesel,2021,32 990,71000,4.820033333333334,46.3393
CITROEN,C4 cactus,Manuelle,16133,Diesel,2020,17 480,38320,5.7681999999999976,45.1374
CITROEN,C5 aircross,Automatique,8200,Hybride,2020,39 990,73209,,
CITROEN,C4,Manuelle,57951,Essence,2017,12 590,34120,3.4235833333333328,43.434
CITROEN,C5 aircross,Automatique,11500,Diesel,2020,33 990,86100,0.5844800000000001,46.7667
CITROEN,C5 aircross,Automatique,46202,Diesel,2020,28 389,51530,3.9440588235294123,49.0107
CITROEN,C5 aircross,Manuelle,13628,Diesel,2020,25 880,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,5000,Hybride,2020,43 500,71103,,
CITROEN,C5 aircross,Automatique,13775,Diesel,2020,29 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,150,Diesel,2020,31 990,86400,0.2659181818181819,46.0852
CITROEN,C3,Manuelle,39848,Essence,2018,11 990,1100,5.636914285714285,46.2592
CITROEN,C5 aircross,Manuelle,20,Diesel,2020,28 490,63200,3.1161866666666667,45.9341
CITROEN,C4 cactus,Automatique,14890,Essence,2019,16 490,74100,6.2448000000000015,46.203
CITROEN,Berlingo,Manuelle,10000,Diesel,2020,23 390,86000,0.3333,46.5833
CITROEN,C4 picasso,Automatique,63448,Diesel,2018,19 990,16430,0.14593333333333333,45.7167
CITROEN,C4 cactus,Automatique,14620,Diesel,2019,19 480,38320,5.7681999999999976,45.1374
CITROEN,C5 aircross,Automatique,13003,Diesel,2020,26 990,74600,6.073166666666666,45.8406
CITROEN,C4 picasso,Manuelle,85573,Diesel,2017,15 789,51530,3.9440588235294123,49.0107
